1608605473880,91282CAX9,0,1000000,0,1000000
1608605473881,91282CBA80,0,0,1000000,1000000
1608605473881,91282CAZ4,0,1000000,0,1000000
1608605473881,91282CAY7,0,0,1000000,1000000
1608605473881,91282CAV3,1000000,0,0,1000000
1608605473882,912810ST6,0,1000000,0,1000000
1608605473882,912810SS8,0,0,1000000,1000000
1608605473882,91282CAX9,0,1000000,-2000000,-1000000
1608605473883,91282CBA80,0,-2000000,1000000,-1000000
1608605473883,91282CAZ4,-2000000,1000000,0,-1000000
1608605473883,91282CAY7,0,0,-1000000,-1000000
1608605473884,91282CAV3,1000000,-2000000,0,-1000000
1608605473884,912810ST6,0,1000000,-2000000,-1000000
1608605473885,912810SS8,0,0,-1000000,-1000000
1608605473885,91282CAX9,0,1000000,1000000,2000000
1608605473885,91282CBA80,0,1000000,1000000,2000000
1608605473886,91282CAZ4,-2000000,4000000,0,2000000
1608605473886,91282CAY7,0,3000000,-1000000,2000000
1608605473887,91282CAV3,1000000,1000000,0,2000000
1608605473887,912810ST6,3000000,1000000,-2000000,2000000
1608605473887,912810SS8,0,0,2000000,2000000
1608605473887,91282CAX9,-4000000,1000000,1000000,-2000000
1608605473888,91282CBA80,0,1000000,-3000000,-2000000
1608605473888,91282CAZ4,-2000000,0,0,-2000000
1608605473888,91282CAY7,0,-1000000,-1000000,-2000000
1608605473889,91282CAV3,1000000,1000000,-4000000,-2000000
1608605473889,912810ST6,3000000,-3000000,-2000000,-2000000
1608605473889,912810SS8,0,-4000000,2000000,-2000000
1608605473889,91282CAX9,-4000000,6000000,1000000,3000000
1608605473890,91282CBA80,0,1000000,2000000,3000000
1608605473890,91282CAZ4,3000000,0,0,3000000
1608605473890,91282CAY7,5000000,-1000000,-1000000,3000000
1608605473891,91282CAV3,1000000,6000000,-4000000,3000000
1608605473891,912810ST6,3000000,-3000000,3000000,3000000
1608605473891,912810SS8,0,-4000000,7000000,3000000
1608605473891,91282CAX9,-4000000,5000000,1000000,2000000
1608605473892,91282CBA80,-1000000,1000000,2000000,2000000
1608605473892,91282CAZ4,3000000,-1000000,0,2000000
1608605473893,91282CAY7,4000000,-1000000,-1000000,2000000
1608605473893,91282CAV3,0,6000000,-4000000,2000000
1608605473893,912810ST6,2000000,-3000000,3000000,2000000
1608605473894,912810SS8,-1000000,-4000000,7000000,2000000
1608605473894,91282CAX9,-2000000,5000000,1000000,4000000
1608605473894,91282CBA80,1000000,1000000,2000000,4000000
1608605473895,91282CAZ4,3000000,1000000,0,4000000
1608605473895,91282CAY7,6000000,-1000000,-1000000,4000000
1608605473895,91282CAV3,0,6000000,-2000000,4000000
1608605473895,912810ST6,2000000,-3000000,5000000,4000000
1608605473896,912810SS8,1000000,-4000000,7000000,4000000
1608605473896,91282CAX9,-2000000,5000000,-2000000,1000000
1608605473897,91282CBA80,1000000,-2000000,2000000,1000000
1608605473897,91282CAZ4,0,1000000,0,1000000
1608605473897,91282CAY7,6000000,-4000000,-1000000,1000000
1608605473897,91282CAV3,0,3000000,-2000000,1000000
1608605473898,912810ST6,2000000,-3000000,2000000,1000000
1608605473898,912810SS8,1000000,-4000000,4000000,1000000
1608605473898,91282CAX9,2000000,5000000,-2000000,5000000
1608605473899,91282CBA80,1000000,2000000,2000000,5000000
1608605473899,91282CAZ4,0,1000000,4000000,5000000
1608605473900,91282CAY7,6000000,-4000000,3000000,5000000
1608605473900,91282CAV3,4000000,3000000,-2000000,5000000
1608605473901,912810ST6,6000000,-3000000,2000000,5000000
1608605473901,912810SS8,1000000,-4000000,8000000,5000000
1608605473901,91282CAX9,2000000,5000000,-7000000,0
1608605473902,91282CBA80,-4000000,2000000,2000000,0
1608605473902,91282CAZ4,0,-4000000,4000000,0
1608605473903,91282CAY7,6000000,-9000000,3000000,0
1608605473903,91282CAV3,4000000,-2000000,-2000000,0
1608605473903,912810ST6,1000000,-3000000,2000000,0
1608605473903,912810SS8,1000000,-9000000,8000000,0
1608605473905,91282CAX9,2000000,6000000,-7000000,1000000
1608605473906,912810SS8,1000000,-9000000,9000000,1000000
1608605473907,912810ST6,2000000,-3000000,2000000,1000000
1608605473908,91282CAV3,4000000,-1000000,-2000000,1000000
1608605473909,91282CAY7,6000000,-9000000,4000000,1000000
1608605473910,91282CAZ4,1000000,-4000000,4000000,1000000
1608605473912,91282CBA80,-4000000,3000000,2000000,1000000
1608605473913,91282CAX9,2000000,6000000,-6000000,2000000
1608605473913,912810SS8,2000000,-9000000,9000000,2000000
1608605473914,912810ST6,2000000,-2000000,2000000,2000000
1608605473915,91282CAV3,4000000,-1000000,-1000000,2000000
1608605473916,91282CAY7,7000000,-9000000,4000000,2000000
1608605473917,91282CAZ4,1000000,-3000000,4000000,2000000
1608605473918,91282CBA80,-4000000,3000000,3000000,2000000
1608605473919,91282CAX9,3000000,6000000,-6000000,3000000
1608605473920,912810SS8,2000000,-8000000,9000000,3000000
1608605473920,912810ST6,2000000,-2000000,3000000,3000000
1608605473921,91282CAV3,5000000,-1000000,-1000000,3000000
1608605473922,91282CAY7,7000000,-8000000,4000000,3000000
1608605473922,91282CAZ4,1000000,-3000000,5000000,3000000
