1608605481368,912810ST6,100.179688,0.007812
1608605481668,912810SS8,99.480469,0.007812
1608605481968,91282CAV3,99.750000,0.007812
1608605482268,91282CAZ4,99.949219,0.015625
1608605482568,91282CAV3,99.378906,0.015625
1608605482868,912810ST6,100.824219,0.015625
1608605483168,91282CAZ4,99.449219,0.007812
1608605483468,91282CAV3,100.644531,0.015625
1608605483768,91282CAZ4,99.464844,0.007812
1608605484068,91282CAV3,99.507812,0.007812
1608605484368,91282CBA80,100.734375,0.015625
1608605484668,91282CAV3,100.449219,0.015625
1608605484968,91282CAV3,99.187500,0.015625
1608605485268,91282CAY7,99.140625,0.007812
1608605485568,91282CAX9,99.878906,0.007812
1608605485868,91282CAV3,100.226562,0.007812
1608605486168,91282CAY7,100.371094,0.015625
1608605486468,91282CBA80,99.136719,0.007812
1608605486768,91282CAX9,100.867188,0.007812
1608605487068,91282CAZ4,100.675781,0.015625
1608605487368,912810SS8,99.703125,0.015625
1608605487668,91282CAZ4,100.128906,0.015625
1608605487968,91282CAZ4,100.597656,0.015625
1608605488268,91282CAX9,100.949219,0.015625
1608605488568,91282CAZ4,100.628906,0.007812
